unidad,tipo_unidad,sector,nombre,email,rut,telefono,tipo_vinculo,es_residente,recibe_notificaciones,es_responsable,estacionamiento1,estacionamiento2,estacionamiento3,patente1,tipo_vehiculo1,marca1,modelo1,color1,patente2,tipo_vehiculo2,marca2,modelo2,color2,est2,patente3,tipo_vehiculo3,marca3,modelo3,color3,est3,bodega1,bodega2,bodega3
1,CASA,sector 1,juan ramirez,juan.ramirez@gmail.com,17.532.930-7,56944993888,PROPIETARIO,SI,SI,SI,E-1,,,JWRR01,AUTO,Toyota,Corolla,Blanco,,,,,,,,,,,,,,,
1,CASA,sector 1,Alonso Silva Muñoz,residente2casa1@vista.cl,22.441.152-9,56946913810,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
2,CASA,sector 1,Miguel Aguilera Soto,residente1casa2@vista.cl,19.906.820-2,56966629388,PROPIETARIO,SI,SI,SI,E-2,,,,,,,,,,,,,,,,,,,,,,
3,CASA,sector 1,Fernanda Henriquez Molina,propietario_casa3@vista.cl,10.445.199-3,56985329037,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
3,CASA,sector 1,Lucas Valdes Vergara,residente1casa3@vista.cl,12.608.513-3,56938898923,ARRENDATARIO,SI,SI,SI,E-3,,,KLHW30,CAMIONETA,Ford,Ranger,Azul,,,,,,,,,,,,,,,
4,CASA,sector 1,Antonella Cortes Cortes,residente1casa4@vista.cl,20.128.842-8,56945503389,PROPIETARIO,SI,SI,SI,E-4,,,,,,,,,,,,,,,,,,,,,,
4,CASA,sector 1,Claudio Rojas Lagos,residente2casa4@vista.cl,17.707.870-0,56981971316,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
5,CASA,sector 1,Alonso Herrera Fuentes,propietario_casa5@vista.cl,19.686.361-3,56935808537,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
5,CASA,sector 1,Catalina Molina Campos,residente1casa5@vista.cl,12.871.230-5,56981691040,ARRENDATARIO,SI,SI,SI,E-5,,,UZWW58,AUTO,Toyota,Yaris,Gris,JJFG97,AUTO,Suzuki,Baleno,Azul,,,,,,,,,,
5,CASA,sector 1,Jorge Mendez Morales,residente3casa5@vista.cl,17.755.439-1,56960929647,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
6,CASA,sector 1,Gonzalo Olivares Espinoza,residente1casa6@vista.cl,13.567.281-5,56997971488,PROPIETARIO,SI,SI,SI,E-6,,,FAIG37,AUTO,Subaru,XV,Rojo,,,,,,,,,,,,,,,
6,CASA,sector 1,Santiago Rivera Rios,residente2casa6@vista.cl,17.698.256-K,56929175900,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
7,CASA,sector 1,Florencia Sepulveda Campos,residente1casa7@vista.cl,12.684.052-7,56966661351,PROPIETARIO,SI,SI,SI,E-7,,,FZNC16,AUTO,Peugeot,3008,Verde,,,,,,,,,,,,,,,
7,CASA,sector 1,Javier Perez Carrasco,residente2casa7@vista.cl,16.402.509-8,56989978790,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
8,CASA,sector 1,Jorge Silva Catalan,residente1casa8@vista.cl,24.844.286-7,56982070937,PROPIETARIO,SI,SI,SI,E-8,,,,,,,,,,,,,,,,,,,,,,
8,CASA,sector 1,Carlos Vergara Rios,residente2casa8@vista.cl,15.707.197-1,56924972279,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
8,CASA,sector 1,Sofia Lagos Lagos,residente3casa8@vista.cl,14.418.934-5,56977187530,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
9,CASA,sector 1,Cristian Campos Henriquez,propietario_casa9@vista.cl,20.216.824-8,56936697396,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
9,CASA,sector 1,Florencia Fuentes Flores,residente1casa9@vista.cl,14.017.343-6,56917774584,ARRENDATARIO,SI,SI,SI,E-9,,,YXXP72,AUTO,Subaru,XV,Blanco,,,,,,,,,,,,,,,
9,CASA,sector 1,Camila Pizarro Soto,residente3casa9@vista.cl,11.437.026-6,56975228535,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
